,PLZ,BFS-Nr,Gemeindename,Kantonskürzel,Sprache,pop_PLZ,pop_BFS,PLZ_check,pop_BFS_real,PLZ_to_BFS_factor
6,1008,5585,Jouxtens-Mézery,VD,fr,13755.0,1412.0,True,1412.0,0.10265358051617593
7,1008,5589,Prilly,VD,fr,13755.0,12360.0,True,12360.0,0.8985823336968375
13,1018,5586,Lausanne,VD,fr,20602.0,140202.0,True,20602.0,1.0
0,1000,5586,Lausanne,VD,fr,3991.0,140202.0,True,3991.0,1.0
1,1003,5586,Lausanne,VD,fr,6528.0,140202.0,True,6528.0,1.0
2,1004,5586,Lausanne,VD,fr,31084.0,140202.0,True,31084.0,1.0
3,1005,5586,Lausanne,VD,fr,12465.0,140202.0,True,12465.0,1.0
4,1006,5586,Lausanne,VD,fr,15520.0,140202.0,True,15520.0,1.0
5,1007,5586,Lausanne,VD,fr,22299.0,140202.0,True,22299.0,1.0
9,1010,5586,Lausanne,VD,fr,15216.0,140202.0,True,15216.0,1.0
10,1011,5586,Lausanne,VD,fr,28.0,140202.0,True,28.0,1.0
11,1012,5586,Lausanne,VD,fr,11848.0,140202.0,True,11848.0,1.0
12,1015,5586,Lausanne,VD,fr,,140202.0,True,140202.0,1.0
14,1020,5591,Renens (VD),VD,fr,20834.0,20834.0,True,20834.0,1.0
15,1022,5627,Chavannes-près-Renens,VD,fr,8460.0,8460.0,True,8460.0,1.0
16,1023,5583,Crissier,VD,fr,8747.0,8727.0,True,8727.0,0.9977135017720361
17,1024,5635,Ecublens (VD),VD,fr,13157.0,13157.0,True,13157.0,1.0
18,1025,5648,Saint-Sulpice (VD),VD,fr,4914.0,4914.0,True,4914.0,1.0
19,1026,5632,Denges,VD,fr,4460.0,1725.0,True,1725.0,0.3867713004484305
20,1026,5633,Echandens,VD,fr,4460.0,2735.0,True,2735.0,0.6132286995515696
21,1027,5638,Lonay,VD,fr,2675.0,2675.0,True,2675.0,1.0
22,1028,5643,Préverenges,VD,fr,5242.0,5242.0,True,5242.0,1.0
23,1029,5651,Villars-Sainte-Croix,VD,fr,960.0,960.0,True,960.0,1.0
24,1030,5624,Bussigny,VD,fr,9603.0,9603.0,True,9603.0,1.0
25,1031,5489,Mex (VD),VD,fr,790.0,790.0,True,790.0,1.0
26,1032,5592,Romanel-sur-Lausanne,VD,fr,3533.0,3240.0,True,3240.0,0.9170676478913105
27,1033,5582,Cheseaux-sur-Lausanne,VD,fr,4567.0,4360.0,True,4360.0,0.9546748412524633
28,1034,5473,Boussens,VD,fr,999.0,999.0,True,999.0,1.0
29,1035,5472,Bournens,VD,fr,491.0,491.0,True,491.0,1.0
30,1036,5501,Sullens,VD,fr,1042.0,1042.0,True,1042.0,1.0
31,1037,5521,Etagnières,VD,fr,1146.0,1146.0,True,1146.0,1.0
32,1038,5512,Bercher,VD,fr,1326.0,1322.0,True,1322.0,0.9969834087481146
33,1040,5518,Echallens,VD,fr,7792.0,5729.0,True,5729.0,0.735241273100616
34,1040,5535,Saint-Barthélemy (VD),VD,fr,7792.0,783.0,True,783.0,0.1004876796714579
35,1040,5537,Villars-le-Terroir,VD,fr,7792.0,1280.0,True,1280.0,0.16427104722792607
40,1042,5471,Bettens,VD,fr,2300.0,637.0,True,637.0,0.27695652173913043
41,1042,5511,Assens,VD,fr,2300.0,1143.0,True,1143.0,0.4969565217391304
43,1044,5522,Fey,VD,fr,749.0,749.0,True,749.0,1.0
44,1045,5680,Ogens,VD,fr,307.0,301.0,True,301.0,0.9804560260586319
45,1046,5534,Rueyres,VD,fr,266.0,266.0,True,266.0,1.0
46,1047,5923,Oppens,VD,fr,204.0,204.0,True,204.0,1.0
47,1052,5587,Le Mont-sur-Lausanne,VD,fr,9149.0,9144.0,True,9144.0,0.9994534921849383
48,1053,5515,Bretigny-sur-Morrens,VD,fr,3740.0,859.0,True,859.0,0.22967914438502673
49,1053,5516,Cugy (VD),VD,fr,3740.0,2762.0,True,2762.0,0.7385026737967915
50,1054,5527,Morrens (VD),VD,fr,1154.0,1154.0,True,1154.0,1.0
51,1055,5523,Froideville,VD,fr,2695.0,2695.0,True,2695.0,1.0
55,1062,5804,Jorat-Menthue,VD,fr,338.0,1602.0,True,338.0,1.0
39,1041,5804,Jorat-Menthue,VD,fr,3672.0,1602.0,True,1170.5,0.3187636165577342
36,1041,5514,Bottens,VD,fr,3672.0,1331.0,True,1331.0,0.3624727668845316
37,1041,5533,Poliez-Pittet,VD,fr,3672.0,830.0,True,830.0,0.22603485838779958
38,1041,5540,Montilliez,VD,fr,3672.0,1858.0,True,1170.5,0.3187636165577342
52,1058,5804,Jorat-Menthue,VD,fr,463.0,1602.0,True,463.0,1.0
53,1059,5804,Jorat-Menthue,VD,fr,448.0,1602.0,True,448.0,1.0
54,1061,5804,Jorat-Menthue,VD,fr,281.0,1602.0,True,281.0,1.0
42,1043,5540,Montilliez,VD,fr,431.0,1858.0,True,431.0,1.0
58,1066,5584,Epalinges,VD,fr,9769.0,9769.0,True,9769.0,1.0
59,1068,5590,Pully,VD,fr,120.0,18694.0,True,120.0,1.0
8,1009,5590,Pully,VD,fr,18568.0,18694.0,True,18568.0,1.0
60,1070,5607,Puidoux,VD,fr,2810.0,2888.0,True,2888.0,1.0277580071174377
61,1071,5601,Chexbres,VD,fr,3022.0,2252.0,True,2252.0,0.7452018530774321
62,1071,5609,Rivaz,VD,fr,3022.0,337.0,True,337.0,0.11151555261416281
63,1071,5610,Saint-Saphorin (Lavaux),VD,fr,3022.0,389.0,True,389.0,0.128722700198544
64,1072,5604,Forel (Lavaux),VD,fr,2082.0,2107.0,True,2107.0,1.0120076849183477
65,1073,5611,Savigny,VD,fr,3347.0,3349.0,True,3349.0,1.0005975500448163
69,1080,5799,Servion,VD,fr,836.0,2078.0,True,836.0,1.0
67,1077,5799,Servion,VD,fr,1251.0,2078.0,True,1251.0,1.0
70,1081,5792,Montpreveyres,VD,fr,653.0,653.0,True,653.0,1.0
71,1082,5785,Corcelles-le-Jorat,VD,fr,446.0,451.0,True,451.0,1.0112107623318385
73,1084,5806,Jorat-Mézières,VD,fr,1368.0,2968.0,True,1368.0,1.0
66,1076,5806,Jorat-Mézières,VD,fr,381.0,2968.0,True,381.0,1.0
72,1083,5806,Jorat-Mézières,VD,fr,1221.0,2968.0,True,1221.0,1.0
74,1085,5803,Vulliens,VD,fr,623.0,625.0,True,625.0,1.0032102728731942
75,1088,5798,Ropraz,VD,fr,529.0,529.0,True,529.0,1.0
78,1092,5581,Belmont-sur-Lausanne,VD,fr,3752.0,3750.0,True,3750.0,0.9994669509594882
80,1094,5588,Paudex,VD,fr,1538.0,1540.0,True,1540.0,1.0013003901170352
81,1095,5606,Lutry,VD,fr,6086.0,10459.0,True,6086.0,1.0
76,1090,5606,Lutry,VD,fr,1446.0,10459.0,True,1446.0,1.0
79,1093,5606,Lutry,VD,fr,2939.0,10459.0,True,2939.0,1.0
84,1098,5613,Bourg-en-Lavaux,VD,fr,339.0,5391.0,True,339.0,1.0
77,1091,5613,Bourg-en-Lavaux,VD,fr,2931.0,5391.0,True,2931.0,1.0
82,1096,5613,Bourg-en-Lavaux,VD,fr,1862.0,5391.0,True,1862.0,1.0
83,1097,5613,Bourg-en-Lavaux,VD,fr,323.0,5391.0,True,323.0,1.0
85,1110,5642,Morges,VD,fr,16101.0,16101.0,True,16101.0,1.0
89,1115,5654,Vullierens,VD,fr,542.0,542.0,True,542.0,1.0
91,1117,5485,Grancy,VD,fr,407.0,407.0,True,407.0,1.0
92,1121,5622,Bremblens,VD,fr,584.0,584.0,True,584.0,1.0
93,1122,5645,Romanel-sur-Morges,VD,fr,467.0,467.0,True,467.0,1.0
94,1123,5621,Aclens,VD,fr,531.0,531.0,True,531.0,1.0
95,1124,5484,Gollion,VD,fr,997.0,997.0,True,997.0,1.0
96,1125,5634,Echichens,VD,fr,425.0,3127.0,True,425.0,1.0
86,1112,5634,Echichens,VD,fr,1518.0,3127.0,True,1518.0,1.0
87,1113,5634,Echichens,VD,fr,609.0,3127.0,True,609.0,1.0
88,1114,5634,Echichens,VD,fr,575.0,3127.0,True,575.0,1.0
97,1126,5650,Vaux-sur-Morges,VD,fr,194.0,194.0,True,194.0,1.0
98,1127,5629,Clarmont,VD,fr,201.0,201.0,True,201.0,1.0
100,1131,5649,Tolochenaz,VD,fr,1892.0,1892.0,True,1892.0,1.0
101,1132,5639,Lully (VD),VD,fr,810.0,823.0,True,823.0,1.0160493827160493
102,1134,5628,Chigny,VD,fr,1268.0,396.0,True,396.0,0.31230283911671924
103,1134,5653,Vufflens-le-Château,VD,fr,1268.0,872.0,True,872.0,0.6876971608832808
104,1135,5631,Denens,VD,fr,742.0,742.0,True,742.0,1.0
108,1143,5656,Hautemorges,VD,fr,1455.0,,True,1455.0,1.0
90,1116,5656,Hautemorges,VD,fr,493.0,,True,493.0,1.0
99,1128,5656,Hautemorges,VD,fr,413.0,,True,413.0,1.0
105,1136,5656,Hautemorges,VD,fr,404.0,,True,404.0,1.0
106,1141,5656,Hautemorges,VD,fr,212.0,,True,212.0,1.0
107,1142,5656,Hautemorges,VD,fr,1129.0,,True,1129.0,1.0
109,1144,5423,Ballens,VD,fr,562.0,562.0,True,562.0,1.0
110,1145,5425,Bière,VD,fr,1624.0,1621.0,True,1621.0,0.9981527093596059
111,1146,5431,Mollens (VD),VD,fr,330.0,330.0,True,330.0,1.0
112,1147,5492,Montricher,VD,fr,964.0,964.0,True,964.0,1.0
113,1148,5475,Chavannes-le-Veyron,VD,fr,2779.0,152.0,True,152.0,0.05469593378913278
114,1148,5479,Cuarnens,VD,fr,2779.0,528.0,True,528.0,0.18999640158330336
115,1148,5486,L'Isle,VD,fr,2779.0,1064.0,True,1064.0,0.38287153652392947
116,1148,5488,Mauraz,VD,fr,2779.0,59.0,True,59.0,0.021230658510255487
117,1148,5490,Moiry,VD,fr,2779.0,311.0,True,311.0,0.11191075926592299
118,1148,5491,Mont-la-Ville,VD,fr,2779.0,490.0,True,490.0,0.17632241813602015
119,1148,5758,La Praz,VD,fr,2779.0,175.0,True,175.0,0.06297229219143577
120,1149,5424,Berolle,VD,fr,315.0,313.0,True,313.0,0.9936507936507937
121,1162,5646,Saint-Prex,VD,fr,5868.0,5855.0,True,5855.0,0.9977845944103613
122,1163,5636,Etoy,VD,fr,2906.0,2906.0,True,2906.0,1.0
123,1164,5623,Buchillon,VD,fr,687.0,687.0,True,687.0,1.0
124,1165,5851,Allaman,VD,fr,442.0,442.0,True,442.0,1.0
125,1166,5860,Perroy,VD,fr,1520.0,1518.0,True,1518.0,0.9986842105263158
126,1167,5640,Lussy-sur-Morges,VD,fr,722.0,722.0,True,722.0,1.0
127,1168,5652,Villars-sous-Yens,VD,fr,612.0,612.0,True,612.0,1.0
128,1169,5655,Yens,VD,fr,1479.0,1479.0,True,1479.0,1.0
130,1172,5426,Bougy-Villars,VD,fr,486.0,478.0,True,478.0,0.9835390946502057
131,1173,5427,Féchy,VD,fr,869.0,871.0,True,871.0,1.002301495972382
132,1174,5422,Aubonne,VD,fr,579.0,3235.0,True,579.0,1.0
129,1170,5422,Aubonne,VD,fr,3173.0,3235.0,True,3173.0,1.0
133,1175,5637,Lavigny,VD,fr,1002.0,1006.0,True,1006.0,1.003992015968064
134,1176,5435,Saint-Livres,VD,fr,679.0,684.0,True,684.0,1.0073637702503682
135,1180,5861,Rolle,VD,fr,6750.0,6260.0,True,6260.0,0.9274074074074075
136,1180,5862,Tartegnin,VD,fr,6750.0,238.0,True,238.0,0.03525925925925926
137,1182,5857,Gilly,VD,fr,1297.0,1428.0,True,1428.0,1.1010023130300695
138,1183,5853,Bursins,VD,fr,825.0,779.0,True,779.0,0.9442424242424242
139,1184,5858,Luins,VD,fr,1000.0,619.0,True,619.0,0.619
140,1184,5863,Vinzel,VD,fr,1000.0,385.0,True,385.0,0.385
141,1185,5859,Mont-sur-Rolle,VD,fr,2658.0,2658.0,True,2658.0,1.0
142,1186,5856,Essertines-sur-Rolle,VD,fr,555.0,741.0,True,741.0,1.335135135135135
143,1187,5436,Saint-Oyens,VD,fr,460.0,460.0,True,460.0,1.0
144,1188,5428,Gimel,VD,fr,3384.0,2311.0,True,2311.0,0.682919621749409
145,1188,5434,Saint-George,VD,fr,3384.0,1073.0,True,1073.0,0.31708037825059104
146,1189,5437,Saubraz,VD,fr,423.0,423.0,True,423.0,1.0
147,1195,5852,Bursinel,VD,fr,1117.0,492.0,True,492.0,0.4404655326768129
148,1195,5855,Dully,VD,fr,1117.0,624.0,True,624.0,0.55863921217547
149,1196,5721,Gland,VD,fr,13258.0,13258.0,True,13258.0,1.0
150,1197,5725,Prangins,VD,fr,4099.0,4099.0,True,4099.0,1.0
161,1213,6628,Lancy,GE,fr,35158.0,33989.0,True,16225.0,0.4614881392570681
162,1213,6631,Onex,GE,fr,35158.0,18933.0,True,18933.0,0.5385118607429319
160,1212,6628,Lancy,GE,fr,17766.0,33989.0,True,17766.0,1.0
166,1217,6630,Meyrin,GE,fr,24138.0,26129.0,True,24138.0,1.0
165,1216,6630,Meyrin,GE,fr,2719.0,26129.0,True,2719.0,1.0
167,1218,6623,Le Grand-Saconnex,GE,fr,12369.0,12378.0,True,12369.0,1.0
164,1215,6623,Le Grand-Saconnex,GE,fr,10.0,12378.0,True,10.0,1.0
169,1220,6643,Vernier,GE,fr,5724.0,34898.0,True,5724.0,1.0
163,1214,6643,Vernier,GE,fr,8295.0,34898.0,True,8295.0,1.0
168,1219,6643,Vernier,GE,fr,20253.0,34898.0,True,20253.0,1.0
171,1223,6617,Cologny,GE,fr,5866.0,5866.0,True,5866.0,1.0
173,1225,6613,Chêne-Bourg,GE,fr,8791.0,8791.0,True,8791.0,1.0
174,1226,6640,Thônex,GE,fr,14573.0,14573.0,True,14573.0,1.0
175,1227,6608,Carouge (GE),GE,fr,27205.0,22536.0,True,22536.0,0.8283771365557802
176,1227,6621,Genève,GE,fr,27205.0,203856.0,True,4669.0,0.17162286344421981
151,1201,6621,Genève,GE,fr,22197.0,203856.0,True,22197.0,1.0
152,1202,6621,Genève,GE,fr,33822.0,203856.0,True,33822.0,1.0
153,1203,6621,Genève,GE,fr,33794.0,203856.0,True,33794.0,1.0
154,1204,6621,Genève,GE,fr,5526.0,203856.0,True,5526.0,1.0
155,1205,6621,Genève,GE,fr,34673.0,203856.0,True,34673.0,1.0
156,1206,6621,Genève,GE,fr,20337.0,203856.0,True,20337.0,1.0
157,1207,6621,Genève,GE,fr,18677.0,203856.0,True,18677.0,1.0
158,1208,6621,Genève,GE,fr,14368.0,203856.0,True,14368.0,1.0
159,1209,6621,Genève,GE,fr,10058.0,203856.0,True,10058.0,1.0
177,1228,6633,Plan-les-Ouates,GE,fr,9952.0,10601.0,True,10601.0,1.0652130225080385
178,1231,6612,Chêne-Bougeries,GE,fr,2413.0,12621.0,True,2413.0,1.0
172,1224,6612,Chêne-Bougeries,GE,fr,10722.0,12621.0,True,10722.0,1.0
179,1232,6618,Confignon,GE,fr,4588.0,4579.0,True,4579.0,0.9980383609415867
180,1233,6607,Bernex,GE,fr,10230.0,10258.0,True,10258.0,1.0027370478983382
182,1236,6609,Cartigny,GE,fr,1001.0,971.0,True,971.0,0.97002997002997
183,1237,6603,Avully,GE,fr,1756.0,1756.0,True,1756.0,1.0
184,1239,6615,Collex-Bossy,GE,fr,1575.0,1686.0,True,1686.0,1.0704761904761906
185,1241,6636,Puplinge,GE,fr,2488.0,2488.0,True,2488.0,1.0
186,1242,6638,Satigny,GE,fr,4171.0,4286.0,True,4286.0,1.027571325821146
187,1243,6635,Presinge,GE,fr,696.0,696.0,True,696.0,1.0
188,1244,6614,Choulex,GE,fr,1182.0,1182.0,True,1182.0,1.0
189,1245,6616,Collonge-Bellerive,GE,fr,2866.0,8445.0,True,2866.0,1.0
170,1222,6616,Collonge-Bellerive,GE,fr,5579.0,8445.0,True,5579.0,1.0
